"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"BOOKKEEPER","RandomForest","1","NONE","NO_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","NONE","NO_SAMPLING","NONE","0,18667","0,22222","0,20655","-0,45457","0","28.0","122.0","55.0","98.0","49,83444"
"BOOKKEEPER","IBk","1","NONE","NO_SAMPLING","NONE","0","0","0,50282","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,20695","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,49704","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,20695","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,49704","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","RandomForest","1","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,5","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","NaiveBayes","1","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,2083","0","0","0.0","0.0","177.0","126.0","49,83444"
"BOOKKEEPER","IBk","1","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,70303","0","0","0.0","0.0","177.0","126.0","49,83444"
